siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
lc-2019-0039502,,,masculino,entre 18 y 29,leve
lc-2019-0039502,,,masculino,entre 18 y 29,leve
lc-2019-0039502,,,masculino,entre 18 y 29,leve
lc-2019-0039583,,,masculino,60 y mayores,leve
lc-2019-0039611,,,masculino,entre 18 y 29,leve
lc-2019-0039636,,,masculino,entre 18 y 29,leve
lc-2019-0039636,,,masculino,entre 18 y 29,leve
lc-2019-0039736,,,femenino,entre 18 y 29,leve
lc-2019-0039781,,,masculino,60 y mayores,leve
lc-2019-0040002,,,masculino,entre 30 y 39,leve
lc-2019-0040015,,,masculino,entre 50 y 59,leve
lc-2019-0040126,,,femenino,entre 50 y 59,leve
lc-2019-0040126,,,masculino,entre 50 y 59,leve
lc-2019-0040126,,,femenino,,leve
lc-2019-0040179,,,masculino,60 y mayores,leve
lc-2019-0040179,,,femenino,60 y mayores,leve
lc-2019-0040286,,,femenino,,leve
lc-2019-0040286,,,masculino,,leve
lc-2019-0028782,,,femenino,menos de 18,leve
lc-2019-0040616,,,femenino,entre 30 y 39,leve
lc-2019-0041689,,,masculino,entre 18 y 29,leve
lc-2019-0042297,,,femenino,60 y mayores,leve
